🇨🇳央视网,#genre#
CETV2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_80d0ffb42c114eaf9663708629ff0a3e.html
CETV4,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://tv.gxtv.cn/channel/channelivePlay_67eace939278435bb4bca90800fb4225.html


🌟央视频,#genre#
CCTV1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001859
CCTV2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001800
CCTV4,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001814
CCTV5,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001818
CCTV5,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001817
CCTV6,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600108442
CCTV7,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600004092
CCTV8,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001803
CCTV9,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600004078
CCTV10,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001805
CCTV11,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001806
CCTV12,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001807
CCTV13,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001811
CCTV14,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001809
CCTV15,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001815
CCTV16,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600098637
CCTV17,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600001810
CGTN,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600014550
CGTN纪录,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600084781
CGTN俄语,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600084758
CGTN法语,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600084704
CGTN西语,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600084744
CGTN阿语,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600084782
CCTV4K,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002264
风云剧场,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600099658
第一剧场,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600099655
怀旧剧场,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600099620

📡卫视,#genre#
北京卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002309
江苏卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002521
东方卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002483
浙江卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002520
湖南卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002475
湖北卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002508
广东卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002485
广西卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002498
海南卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002506
重庆卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002531
深圳卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002481
四川卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002516
河南卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002525
东南卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002484
贵州卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002490
江西卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002503
辽宁卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002505
安徽卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002532
河北卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002493
山东卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600002513
天津卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600152137
吉林卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190405
陕西卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190400
宁夏卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190401
云南卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190402
山西卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190407
青海卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190406
西藏卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190403
甘肃卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://yangshipin.cn/tv/home?pid=600190408

🌐上海,#genre#
东方卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=1
上海新闻综合,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=2
上海都市,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=4
第一财经,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=5
哈哈炫动,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=9
五星体育,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=10
魔都眼,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=11
新纪实,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.kankanews.com/huikan?id=12

🌐湖南,#genre#
长沙新闻,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.mgtv.com/?channelId=269
长沙新闻,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://web.guangdianyun.tv/tv/?id=346%26uin=1648
长沙政法,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://live.mgtv.com/?channelId=254
株洲新闻综合,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://web.guangdianyun.tv/tv/2053?uin=1366
湘潭,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://www.hnxttv.com/live/ivideo/index.html
常德1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://zzwxht.changdejia.com/zhibo_xwzh.php
常德2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://zzwxht.changdejia.com/zhibo_ggpd.php
邵阳1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://www.sytv.net.cn/folder2188/folder2190
邵阳2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://share.sytv.net.cn/?_hgOutLink=live/livedetail%26channel_id=34
娄底1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://www.ldntv.cn/folder51/folder154/folder171
郴州1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.ngcz.tv/folder83/folder86
郴州2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://share.ngcz.tv/?_hgOutLink=live/livedetail%26channel_id=30

🌐河北,#genre#
河北卫视,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=0
河北经济生活,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=1
河北农民,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=2
河北都市,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=3
河北影视剧,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=4
河北少儿,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=5
河北文旅公共,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=6
河北三佳购物频道,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.hebtv.com/19/19js/st/xdszb/index.shtml?index=7
沧州-1,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32768%26modelid=3
沧州-2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32769%26modelid=3
沧州-3,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32770%26modelid=3
石家庄新闻综合,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://plusshare.sjzntv.cn/?_hgOutLink=live/livedetail%26channel_id=4
石家庄城市服务,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://plusshare.sjzntv.cn/?_hgOutLink=live/livedetail%26channel_id=5
石家庄文化娱乐,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://plusshare.sjzntv.cn/?_hgOutLink=live/livedetail%26channel_id=6
石家庄都市,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://plusshare.sjzntv.cn/?_hgOutLink=live/livedetail%26channel_id=7
衡水综合,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://app.hsrtv.cn/web/teletv/tv_content_1.html
衡水公共,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=http://app.hsrtv.cn/web/teletv/tv_content_4.html
邢台城市生活,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.xttv.com.cn/index/channel/index/id/64.html
沧州综合,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32768%26modelid=3
沧州2,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32769%26modelid=3
沧州3,https://raw.bgithub.xyz/BeinMintar/TVHome/refs/heads/main/webview.js?id=https://www.czgd.tv/Article/des?infoid=32770%26modelid=3
